dealDate,fromCurrencyCode,toCurrencyCode,amount
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD123,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20dd/2017  4:15:00 PM,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,de800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,te800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28ee/2014  8:15:00 PM,USD,PHP,300
4/22/2013 20:15,USD,AED,re400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED123,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,s400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED123,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD123,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
4/22/2013 20:15,USD,AED,400
3/17/2016 20:15,PHP,AED,100
10/20/2017 16:15,AED,USD,200
7/16/2019 16:15,AED,USD,800
5/28/2014 20:15,USD,PHP,300
